, Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,class
4451,102.6484375,47.41152778,0.617171621,0.82054021,1.884615385,12.29024945,11.02879505,172.5796681,0
6240,112.921875,38.45504871,0.435998881,1.540911276,2.476588629,15.41131562,8.630169782,94.3470653,0
8747,138.59375,49.43247248,-0.104507578,-0.259670055,1.309364548,14.92314579,13.18979072,188.1414178,0
6190,125.3671875,48.79098775,-0.29836232,0.12643046,4.915551839,26.11635386,6.24146921,41.76925936,0
4692,132.4609375,45.28070477,0.221791959,0.185492636,1.27090301,14.05894862,13.95631844,216.4540163,0
12395,118.8984375,48.11182285,0.10486163,-0.194532552,2.162207358,17.61480574,9.213264397,92.67787045,0
3853,132.4140625,46.74941967,-0.227629633,0.366542276,1.871237458,17.27778579,11.21566444,139.4504771,0
7620,90.203125,42.67525618,0.699905844,1.845809617,2.256688963,17.00157863,8.887926856,90.18336169,0
2929,121.796875,56.11238157,0.023240882,-0.39636057,5.185618729,26.9740181,6.517805871,45.72217449,0
8400,130.9609375,43.10042821,-0.088145963,-0.006333665,5.926421405,29.18519355,5.884034115,36.88443917,0
12381,88.984375,48.5313984,0.478328977,0.347109495,2.878762542,19.01709802,8.597013561,86.67819976,0
3312,86.5390625,40.53083362,0.573317791,1.56503008,6.367056856,30.62361678,5.206422422,27.59424509,0
11275,163.796875,56.37310964,-1.014641249,0.543343171,199.3135452,59.31843536,-1.534873625,1.759212753,0
9704,129.390625,49.50082613,0.183890073,-0.224179295,3.023411371,22.0206908,8.279130744,72.74938342,0
10587,80.5390625,37.86445859,1.122499121,3.066570469,1.190635452,11.18656531,14.35618235,260.3763261,0
4066,93.609375,39.70658682,1.030164248,2.659003465,1.839464883,14.80150656,11.29258252,151.9269175,0
8969,114.3984375,50.0139574,-0.261560314,-0.255480997,3.173913043,24.12214296,8.239678833,69.85507063,0
12465,97.3515625,46.01725048,0.382482295,0.521904808,2.525919732,18.24705493,8.541982697,81.98995099,0
9788,119.734375,50.7385277,0.428471223,-0.179211959,2.487458194,18.82992024,8.996669937,89.39036597,0
8878,87.9140625,40.84001319,0.559972214,1.105450061,8.693979933,37.08901879,4.466419541,19.52024795,0
8497,75.4296875,35.16916343,0.911070762,3.832179101,8.842809365,35.24968806,4.361116374,19.00273947,0
972,72.671875,38.96916036,0.878137478,2.472894826,3.68729097,27.03811021,7.55053002,56.77801133,0
719,128.921875,51.94447296,-0.061933493,-0.402682838,2.661371237,18.63986843,9.504496728,100.1467373,0
11233,106.484375,47.9545658,0.337964428,0.125336906,2.427257525,16.97885443,9.885742448,114.9881337,0
5227,127.6953125,52.59657169,-0.178006847,-0.254745131,3.954013378,20.39481684,7.246497545,63.53785659,0
2617,130.171875,53.4092556,0.090276517,-0.389750559,1.10367893,11.53912727,14.17907221,246.5275702,0
11402,126.0,45.36604595,-0.164018805,0.200231347,1.626254181,14.47266873,11.43830604,149.9509538,0
10671,121.546875,44.06668586,0.164817339,0.404774233,1.262541806,11.62749459,15.39889336,291.2317965,0
2991,110.203125,43.11691217,0.297544884,0.529633825,2.52090301,15.84103931,9.362136927,109.8907856,0
108,96.8984375,47.00479361,0.495675632,0.529467661,1.039297659,13.65084047,14.87193307,233.5906772,0
10728,112.234375,50.01226168,-0.007246294,-0.072768736,1.446488294,11.04844816,13.8512228,261.1547286,0
11635,115.625,53.41245758,0.229058416,-0.188050257,3.731605351,20.83356657,7.064974448,57.37252818,0
571,118.6171875,45.53863763,0.442851588,0.15853158,1.632943144,11.84317332,12.44998972,209.9235135,0
8294,123.0078125,51.40669583,0.253792606,-0.185199888,2.178929766,16.0028663,10.35068398,125.7699534,0
1744,126.5078125,49.7862613,-0.19787318,0.034066658,4.226588629,24.86524879,6.323480658,41.32363996,0
1574,119.4921875,47.81033428,0.187404161,-0.258440369,3.945652174,24.05292151,6.971950325,51.23269361,0
1248,102.390625,46.00954968,0.667822952,1.14041869,3.275919732,21.20407582,7.420476484,60.46893597,0
6553,91.609375,38.69779434,0.460358696,1.379765935,2.878762542,16.27094535,7.734933638,76.79883396,0
9408,95.3515625,42.38616922,0.569365867,1.260704131,2.323578595,16.29134245,8.747194888,90.35900597,0
2987,81.0390625,40.76617822,0.558548262,1.420701427,2.510869565,15.02491962,8.571964569,95.86477076,0
8840,123.453125,48.15289117,0.306936263,0.259005915,5.361204013,26.87615534,5.711647473,35.18155849,0
285,93.5546875,42.5717792,0.410201346,0.988715347,1.139632107,12.1412975,13.20894856,208.7225482,0
11215,135.625,52.24386926,0.04567899,-0.496812965,11.6764214,42.12008807,3.496376338,10.80852718,0
7883,116.8671875,46.6993996,0.693891075,0.793774617,1.560200669,13.40614175,11.12809746,151.2436066,0
11578,135.75,44.23269436,-0.018804944,0.22744643,2.418896321,13.72499651,9.436217698,123.4650664,0
3059,97.7421875,41.4090204,0.487872625,1.01953317,1.789297659,13.64133569,10.73578546,144.6652244,0
6799,104.5859375,43.51769169,0.585071399,0.527221425,1.428093645,12.26371378,13.31355748,216.6049415,0
2865,98.8828125,40.83036957,0.529013482,0.867791138,0.806856187,13.9411803,17.2516424,296.151748,0
6689,86.1015625,31.48978997,1.170941862,5.304381428,2.995819398,15.13216521,7.775919477,85.42340023,0
6908,147.7109375,53.41043208,-0.387586341,-0.147673856,64.0041806,79.14097207,0.45213382,-1.739067462,0
7604,86.25,39.09303806,0.771777885,1.681764371,6.669732441,33.350557,5.08724472,25.22213668,0
7756,111.421875,53.54548437,0.397834283,-0.138148206,1.690635452,14.39706675,10.85343146,137.1408457,0
5414,89.1015625,38.04866125,0.724237174,1.845930149,6.730769231,31.82928055,5.266542918,28.34794869,0
11860,106.7734375,51.89219818,0.260078751,-0.403444788,2.488294314,15.08451209,8.574491164,95.48565486,0
11112,140.84375,44.90970759,-0.091304903,0.319280374,2.158862876,17.89695084,9.261143562,92.76864881,0
6988,96.515625,41.61448523,0.460483269,0.778586495,2.305183946,18.1979456,9.493299466,99.6564699,0
2900,116.6640625,35.4527144,0.275948048,1.544679107,1.621237458,12.85152609,11.14062749,160.9138449,0
134,142.2890625,49.05611461,-0.111128087,-0.096114076,15.65133779,49.30315077,3.073278401,8.20273753,0
2870,142.078125,45.28807262,-0.320328426,0.283952506,5.376254181,29.00989748,6.076265849,37.83139335,0
8974,121.6796875,49.27679056,0.12814409,-0.309902213,42.40050167,70.28136929,1.344230456,0.293387822,0
7358,119.234375,51.63914521,0.161918984,-0.193288847,4.618729097,23.26533983,6.035226585,40.48542119,0
3647,123.1640625,52.6331314,0.155716434,-0.198033827,2.739130435,15.79442052,8.588996654,93.30484347,0
10846,101.2421875,91.8086279,0.29011494,-1.781888301,195.7959866,63.62401461,-1.852570168,2.544998981,0
1719,111.0,47.96238761,0.609293875,0.524172681,1.321906355,12.65925528,13.76099288,226.5342174,0
1188,108.625,49.37879732,0.557022497,0.545145604,2.673076923,18.89739,8.554329114,82.76813766,0
1334,92.2734375,48.09913507,0.644207068,0.152138346,1.70819398,15.77854582,11.06239072,136.0129815,0
8523,135.421875,49.86303261,0.020081468,-0.073446825,0.576086957,10.02697349,20.39729429,452.9871756,0
4373,116.3359375,45.01757944,0.255124156,0.495525485,2.290133779,19.15969509,9.733145197,103.5176329,0
2826,105.6875,41.73984719,0.087727343,0.683177169,1.654682274,12.47936034,11.48288412,175.043745,0
558,137.6796875,49.14422868,0.223497689,-0.148845059,2.593645485,18.73679048,8.477219349,78.03226219,0
4363,118.3125,40.69853921,0.354938062,0.980677689,1.720735786,14.60009638,11.7259179,168.6518039,0
1265,102.6640625,48.71541679,0.390332676,0.203373236,1.725752508,15.55726413,11.07803688,137.4626716,0
3828,94.78125,48.03806068,0.444129595,0.199480766,0.498327759,9.282765194,22.75314203,561.9678538,0
7568,103.9453125,49.67618717,0.263475883,0.27805082,2.52006689,14.25603546,8.937613104,109.4008961,0
7021,102.609375,47.79190478,0.305027778,-0.077261984,0.780936455,9.434185213,19.66997298,469.3697888,0
12007,93.296875,38.61354186,0.638936027,1.488669008,2.818561873,21.04966312,8.079523073,68.60354671,0
9450,113.6484375,54.97195163,0.226464398,-0.594680133,2.324414716,19.44334294,10.68834483,120.773704,0
5440,92.1875,42.53358048,0.436928438,0.870467646,11.34615385,34.51339583,3.277087692,10.86078786,0
7396,135.234375,48.55063149,0.197342244,0.118706618,1.41722408,13.93021322,11.80557079,160.334342,0
3010,117.9375,50.12901324,-0.168187479,-0.337241426,2.663043478,19.78549701,8.82314201,84.61463094,0
12246,124.6328125,50.57217477,0.149706295,-0.324914925,1.870401338,12.89911045,11.11379802,164.865436,0
8851,137.484375,42.17670869,-0.341983516,0.734493176,1.592809365,12.57927033,11.30042674,168.8087645,0
2483,125.28125,55.24772867,0.035942616,-0.421985488,4.972408027,24.29311823,6.121106486,41.54855601,0
1119,113.15625,39.63316901,0.319399994,1.663129775,5.757525084,31.24273404,5.682964701,32.22468042,0
934,135.6171875,50.80002477,0.018803666,0.022932035,33.05852843,69.0162352,1.731884099,1.237843913,0
2819,142.953125,45.77012183,-0.074739854,-0.00551601,1.883779264,14.91191655,10.80153102,140.2799904,0
573,96.4296875,38.66981292,0.665348693,1.564022641,3.868729097,23.96057224,7.454445973,59.35810864,0
12,146.6953125,47.80617746,-0.468418783,0.554926309,2.885451505,18.04378053,9.792420652,112.6258021,0
15,125.609375,53.51478102,0.109210844,-0.413431636,2.246655518,13.53869213,9.713802964,129.5236723,0
6807,104.96875,48.39420444,0.351331922,0.004617785,1.923076923,14.01256373,10.95325836,145.9694919,0
11470,113.46875,46.20672595,0.296111921,0.131691518,3.68729097,17.63654439,6.69242179,57.86848204,0
3489,126.671875,50.48222295,0.225313096,0.095679088,4.785953177,24.30724468,6.309292129,44.0524468,0
672,92.0078125,42.19013808,0.692695966,0.978137969,1.326086957,15.26326459,12.46615775,163.9722691,0
7295,127.328125,55.47171427,0.090975731,-0.444422013,69.9138796,73.24054455,0.434744223,-1.249027167,0
3108,121.5703125,44.56205007,0.303835003,0.693135847,1.969063545,15.00501185,11.14366249,150.0327114,0
143,127.8046875,53.55838791,0.119318565,-0.360250434,1.923076923,12.25580618,10.79403768,170.1499551,0
6120,95.0625,41.58025936,0.884303629,2.452734421,5.176421405,30.12307218,6.151957175,37.8279186,0
5732,121.84375,56.19267044,0.141366887,-0.713049953,1.665551839,11.70185006,12.54035406,213.3479484,0
3744,119.09375,45.56767589,0.214837208,-0.006947766,2.315217391,14.14403224,9.062543892,112.0907261,0
11047,134.0,51.60577729,0.074005503,-0.298437574,3.456521739,20.96825796,7.505008501,62.04330522,0
3447,122.7578125,42.24274089,0.169442127,0.458496062,2.966555184,16.26958974,7.849556883,78.81366705,0
7985,138.8359375,45.45392195,-0.096960911,0.08651574,3.08277592,18.52984588,7.179261897,60.66034644,0
2231,112.375,47.96352781,0.105088389,0.213193492,3.47826087,20.60900611,6.546977216,47.3084805,0
1458,126.3984375,60.41824795,0.048076948,-0.814893479,66.54765886,85.32276063,0.750702317,-1.037197008,0
11208,130.9296875,49.54341272,0.030691386,0.03220154,4.324414716,28.50781925,6.857253157,46.91671629,0
11891,96.828125,50.19277049,0.432780005,-0.084212385,2.367892977,14.93111628,9.480362686,113.9454678,0
3795,103.640625,48.02680475,0.482874081,0.768882512,3.101170569,16.49979118,7.78995805,80.1112021,0
269,133.859375,47.59935897,0.067098112,-0.377985873,1.898829431,18.13136656,11.42515568,140.0004875,0
1149,128.234375,56.2064393,0.017937217,-0.844584547,2.87458194,22.43670375,9.080948457,86.5371977,0
7102,127.546875,51.08446733,0.086450701,-0.104046539,4.233277592,25.40112834,6.773794869,49.05344903,0
4080,127.84375,45.63894265,0.003601046,0.485185945,3.817725753,26.23613289,7.28048687,53.47356186,0
7326,144.40625,43.81734772,-0.044471378,0.349232808,4.013377926,23.18526854,7.117137308,54.42686518,0
9738,94.796875,39.26320625,0.510920446,1.245569689,2.568561873,17.99380649,8.724243736,84.14629559,0
12519,124.7421875,51.23479136,-0.085092922,-0.422924813,2.815217391,14.86393592,8.231858988,94.20538243,0
10277,138.3359375,49.46246641,-0.258911397,0.116349104,30.66220736,67.90121398,2.017195826,2.5054861,0
1077,135.046875,51.67368458,-0.13748556,-0.207499392,2.147157191,12.58217472,10.08561676,152.5857506,0
4328,122.3046875,53.80397851,0.121509004,-0.154035583,1.613712375,12.55428131,11.53450978,173.3197942,0
9648,118.3984375,41.91422414,0.061408697,0.449960967,1.683946488,10.99294893,13.13261447,250.7454879,0
4105,133.9609375,51.65229338,-0.149695232,-0.60523075,4.566889632,23.9143827,6.320984765,42.99755608,0
5185,94.53125,41.05159435,0.543026761,1.583371178,1.785953177,16.31825014,11.10214399,133.3300851,0
5137,116.4375,61.80434729,0.066440352,-0.68568066,2.981605351,19.80252837,8.620895914,83.01771137,0
8226,133.9140625,53.71859945,-0.045039016,-0.246828348,1.035117057,9.819803088,17.13996429,389.4817668,0
5181,99.734375,40.58699845,0.07737202,1.027499776,2.474080268,18.27416155,8.19195338,74.01952147,0
8578,108.8671875,39.96920125,0.613310336,1.214285448,3.434782609,25.11681593,7.634913127,59.01130191,0
7369,96.421875,48.30625111,0.243269235,-0.179898575,6.825250836,34.14449521,5.250675546,27.3930542,0
11660,138.7109375,44.72715065,-0.167655717,0.351445838,0.213210702,7.370432165,34.53984419,1191.000837,0
10676,117.9921875,45.05612751,0.191754257,0.194954045,3.799331104,20.74345284,6.225972214,43.51557047,0
8514,114.015625,39.53834855,0.259863557,0.925969389,5.665551839,22.2555134,4.899519161,28.69415997,0
7730,100.9453125,37.46650767,0.651012021,1.952602377,1.599498328,13.06899493,12.1189207,179.8009198,0
11758,149.8203125,51.44861417,-0.164474931,-0.072422437,2.576086957,14.6029409,8.737733452,103.5868402,0
3016,116.734375,42.87618154,0.274132737,0.490935267,2.35367893,14.52858426,9.237352887,111.1371263,0
8091,108.578125,52.61959731,0.693864589,0.076267427,3.879598662,22.0240569,6.615333765,47.80753231,0
3287,98.84375,39.88292192,0.612728481,2.167104705,2.158026756,16.41144099,10.10050113,117.930302,0
12150,120.390625,50.2539231,0.022643996,-0.016691234,3.196488294,21.68617042,7.974893737,68.84760067,0
12307,106.8359375,53.78905229,0.023822116,-0.397320774,2.370401338,12.81867733,9.766991951,143.2327912,0
9677,122.8671875,50.38622255,0.165695704,-0.200632152,3.172240803,21.01107604,8.114895818,72.80672387,0
3195,119.015625,49.24904574,0.409883435,0.084696222,2.289297659,16.68315552,9.412612492,106.0959246,0
5865,121.7578125,44.74943193,0.231819049,0.184608611,3.760869565,22.86933234,6.718575073,47.95256669,0
6855,102.3515625,34.23393552,0.439504696,2.878284017,1.29180602,13.87435134,13.14885916,193.2370426,0
3203,124.171875,49.12183663,0.360750639,0.148151028,8.440635452,37.40223359,4.625331954,20.84458196,0
5023,113.734375,35.1464535,0.379382009,1.585375693,4.348662207,24.31646854,6.570762115,46.62526385,0
1352,88.1875,36.98284019,0.603616328,2.029933088,2.944816054,18.10306701,8.077930099,75.33928043,0
4409,93.9296875,37.88699967,0.352917788,2.046485116,1.00083612,10.84433021,15.43465653,295.5145578,0
10429,101.1953125,39.81854518,0.532997909,1.07805749,3.551839465,23.30684129,7.354593215,56.89583995,0
9588,123.1171875,55.74013661,0.161840688,-0.536572074,6.205685619,28.32284318,5.31294417,30.03867234,0
7809,126.5546875,54.27588792,0.207825362,-0.1916864,2.294314381,17.42984988,10.46909985,122.7676285,0
416,111.234375,42.88255844,0.153102655,0.482263526,1.466555184,11.4348402,12.69962641,223.7428619,0
5488,98.4921875,45.70369858,0.384901896,0.567680624,1.765050167,12.29544941,11.38933321,179.0185017,0
2346,108.53125,54.2260802,0.317010216,-0.414389038,1.876254181,13.34297022,10.66726253,146.3064218,0
4379,123.0625,51.87797431,0.106390676,-0.054987227,1.4590301,14.59615198,12.05362943,164.1393997,0
10954,128.4609375,50.5213294,0.202848972,-0.491970397,2.83277592,15.74431349,7.571510599,76.89973687,0
3313,127.765625,50.48073339,0.121002334,-0.23342144,3.317725753,22.2697296,8.175450639,72.77756054,0
11547,99.1015625,39.73738791,0.584018176,1.526071034,2.837792642,17.63572622,8.82301218,91.82589998,0
9335,120.7109375,49.09384386,0.093085515,-0.246459933,1.892140468,11.82032029,11.57148528,194.1192627,0
6665,148.8515625,50.85243508,-0.296626839,-0.053738303,4.85367893,28.30110723,6.16164461,38.63455224,0
10627,117.984375,46.0385342,0.152750407,0.237617944,1.964046823,12.87382342,10.57615725,153.2166075,0
3353,95.5078125,44.64302789,0.445114828,0.998670934,6.132943144,32.07435266,5.67494283,32.57835817,0
6825,113.6796875,47.61448926,0.37307056,0.270969821,1.5,12.66585619,11.4226882,167.3738013,0
6725,85.078125,45.13012599,0.71257925,0.814139581,2.144648829,13.43558819,10.03552048,137.1517909,0
5927,112.171875,47.51070757,0.521913166,0.761390142,1.320234114,14.49277153,12.94499673,183.8474238,0
10625,98.8828125,32.15723604,0.727634374,3.574171074,3.135451505,19.96091618,8.24058017,77.11665748,0
5884,124.0859375,42.73044643,0.277435878,0.527651085,1.699832776,16.09787269,10.73483925,125.6208599,0
8463,109.0,41.68276772,0.104774786,0.700027013,2.674749164,16.69489331,7.957386323,77.32265651,0
8675,143.671875,45.3026471,-0.045768538,0.353642666,5.173913043,26.46234509,5.706651072,33.80261323,0
8720,150.734375,39.5257994,-0.184451831,1.47382945,2.141304348,18.76338139,9.356973377,91.11706555,0
6889,93.25,34.98950736,0.783981208,3.03771548,2.067725753,17.13592898,9.422644494,96.80477764,0
5322,130.953125,51.57016752,0.146369497,-0.20465776,1.748327759,15.60253728,11.5225507,149.5665519,0
2065,111.890625,45.87129317,0.358024253,0.271642564,1.584448161,14.50344414,11.3783322,148.0595946,0
5792,126.78125,51.61908827,-0.046791637,-0.313212104,2.02006689,12.16880704,10.96471701,175.8997344,0
671,110.53125,50.3487738,0.297229743,-0.034614626,1.837792642,11.313063,12.35506323,225.0612123,0
6557,114.9140625,51.6771872,0.130221007,-0.09873432,1.72826087,11.67224808,12.40047353,212.0243011,0
4582,116.5703125,46.95454644,0.146191917,0.028900481,2.357859532,14.56282768,10.50194655,141.0153682,0
10963,108.328125,47.89296487,0.553558826,0.424669879,1.053511706,10.58121068,15.46086439,307.4154615,0
4102,96.0390625,39.92911734,0.383327201,1.421056805,2.505852843,17.66245567,8.849293806,90.58179662,0
7884,134.453125,48.46565462,0.025583999,-0.236608364,1.913879599,14.51772442,11.51860515,167.9747034,0
980,150.6796875,59.34643176,-0.347612248,-0.725332611,13.32274247,44.87332059,3.478214342,11.4179663,0
9070,93.0625,40.95152432,0.656706386,1.090888663,1.214046823,14.93137042,13.31420863,185.4952405,0
4179,119.7265625,49.41560274,0.018773177,-0.01204151,2.386287625,15.11697796,9.358821079,110.1103008,0
12390,134.53125,49.47915241,-0.143461714,0.061533094,3.345317726,22.34935417,7.427826717,58.45133524,0
7324,116.203125,39.58759263,0.423726698,1.418149731,1.877090301,14.14145369,10.33145269,132.2971795,0
8547,138.0078125,43.18736362,-0.114866356,0.499979512,2.628762542,17.77768627,9.177954869,96.75388885,0
12505,131.8671875,53.76603992,0.026371918,-0.112226734,3.872909699,19.11347653,7.307133085,65.20316673,0
691,131.6015625,37.53130773,0.321462742,1.134500436,9.810200669,35.19256529,3.642719116,12.50794414,0
11661,123.5078125,45.65153271,0.010046973,0.603129642,6.892140468,29.66745858,5.107997289,28.40133067,0
8821,128.484375,37.58199045,0.204475704,1.143396686,1.62541806,12.29134165,11.43579795,177.6853559,0
4767,131.3125,51.51209658,-0.153100843,-0.478785544,5.580267559,29.66768698,5.521320503,30.48331603,0
4469,102.5,44.02485094,0.230377351,0.278479293,0.975752508,14.0826602,15.0207476,232.3931388,0
3842,107.734375,47.61966577,0.193134462,0.30055593,1.868729097,15.13341975,11.45036486,157.4345463,0
7054,115.6796875,52.75828335,0.08208583,-0.497257221,1.864548495,12.19607292,11.1501261,176.5511924,0
11479,108.7890625,57.30478442,0.350768669,-0.474729301,7.779264214,35.31671946,4.810001572,22.97893959,0
8265,105.0625,40.88641851,0.257842446,0.723015031,3.660535117,20.98004661,7.068980188,57.10896373,0
229,139.640625,39.27442202,0.009475872,0.862941112,1.717391304,11.89939988,11.7794491,195.5969318,0
5327,158.2890625,39.15716576,-0.175104105,1.12199669,3.191471572,20.18284217,7.632144424,64.5121012,0
2542,131.5625,48.72735852,0.002854896,-0.177019058,2.086120401,14.25373652,10.33445486,132.003753,0
9872,124.375,52.59812259,0.262940935,-0.191775835,3.061036789,16.48234447,8.073205246,82.79963169,0
10785,116.515625,50.35312558,0.075483976,-0.143983462,1.612876254,13.89327939,10.90972781,142.1187519,0
1611,122.5546875,49.48560532,0.127978091,0.323060902,16.409699,44.62689292,2.945244189,8.297091784,0
8049,136.59375,44.49147346,-0.008266532,0.277954824,1.572742475,12.53465669,12.85534343,210.0858458,0
7393,111.1171875,43.07145609,0.399296118,0.891883073,2.10451505,12.9893813,10.46770201,152.6719977,0
4258,100.8828125,42.00643944,0.199834546,0.58665893,2.969899666,21.60006109,8.505400634,77.47994391,0
8967,132.1953125,57.63503961,-0.052898913,-0.715535719,2.717391304,21.02531676,8.853363022,83.29576214,0
4456,128.3359375,57.19023591,-0.075856467,-0.609328525,2.655518395,15.62082248,8.860941626,101.5189001,0
9924,110.53125,45.47457007,0.187773755,9.8e-05,1.943979933,18.51364964,10.31437458,110.8473312,0
9591,75.90625,38.30621635,0.877675211,2.712330117,2.093645485,16.6778324,10.58439139,128.495314,0
12001,130.578125,53.08669345,-0.07796776,-0.324658671,2.025083612,17.95570655,10.61992081,119.3531938,0
10550,122.53125,57.25776933,0.044352394,-0.578447573,7.224080268,32.92021807,5.156954624,27.22456974,0
10689,132.109375,53.52383149,-0.03240522,-0.504037726,2.622909699,20.96128244,8.990525837,84.70188377,0
2743,143.7890625,46.16794281,-0.179908686,0.315830564,1.336120401,14.51129417,12.82535645,180.0068839,0
1432,129.859375,47.69544239,0.037367184,0.034482669,2.982441472,16.1243763,8.287479327,90.48175556,0
675,119.109375,46.4181461,0.308951068,0.88210259,3.18729097,22.12725522,7.596303625,59.98604912,0
2433,116.7734375,51.50397661,0.161774775,-0.067660397,1.952341137,17.37974168,9.950067678,105.7086731,0
8836,122.9921875,46.76211342,0.079178451,-0.326319803,2.183946488,14.3967182,9.817016147,122.1589078,0
8162,122.046875,42.4370599,0.163494253,0.389280924,2.033444816,14.18017901,9.985390726,126.5193669,0
2533,123.65625,52.19576095,-0.118114019,-0.391705005,1.617056856,13.25403365,10.64915564,144.6560228,0
3044,112.6953125,47.29141019,0.336422134,0.09841916,0.948160535,9.77911509,17.82195907,404.6544822,0
1475,125.0390625,53.72388935,-0.035972499,-0.515057675,1.991638796,12.24867464,10.90710802,172.6087021,0
11669,93.21875,41.97486925,0.706053725,1.441287636,2.760033445,18.79719544,8.223260225,76.79679715,0
11186,102.9453125,35.14508069,0.517647187,2.095824845,2.118729097,14.81449226,9.429594256,109.6732407,0
850,128.390625,45.02260446,0.050869902,0.33551466,0.922240803,11.66691318,17.51912706,339.1324544,0
6995,126.5859375,45.3218572,0.001026457,0.047810622,2.391304348,18.9440487,9.272295027,94.03496706,0
5229,111.4921875,41.48060467,0.197772982,0.559849131,3.024247492,19.54841979,8.9635191,90.59893448,0
3341,130.4453125,45.61109524,0.051313109,0.762493109,4.051839465,26.20485904,6.672602578,44.56326045,0
266,174.25,50.65354134,-1.054651289,1.237030944,25.93645485,57.4399437,1.899281403,1.896178137,0
439,86.7421875,44.07083185,0.675622994,1.035307582,2.33277592,15.17940525,9.862002625,118.5698202,0
7343,121.0234375,49.4680239,-0.064686613,-0.089066327,3.383779264,19.9232819,7.202095272,58.60421658,0
8140,153.0078125,43.5108636,-0.259239869,0.899394406,2.612876254,17.54944667,8.562437391,86.26757146,0
9601,140.5,40.62480769,-0.062586072,0.664797561,1.526755853,15.98677714,11.57923849,141.6052834,0
2524,124.4609375,51.1104659,0.207927561,-0.242235202,1.014214047,13.97946291,15.21167538,240.1861884,0
7437,133.4921875,45.2218483,0.088137025,0.127219633,3.511705686,22.95336329,7.468812918,59.61565458,0
9175,108.9453125,45.65004597,0.137737807,0.419033181,1.137123746,12.2039357,13.83068552,223.349037,0
4874,108.8203125,42.40751584,0.322116327,0.799674931,1.578595318,11.78732994,12.33829458,207.1063698,0
11123,138.21875,49.24523097,-0.136890321,0.059618966,2.16722408,12.876262,9.991939458,145.3488015,0
6263,105.6796875,35.16499804,0.400312895,1.918578694,1.841137124,13.39600774,10.69135333,145.585032,0
892,114.359375,44.43389303,-0.072221279,0.096738923,1.266722408,12.63832877,13.60945719,211.0487631,0
2493,142.3515625,48.77076318,0.052447541,-0.048554512,3.237458194,24.1185506,7.958683767,65.00344877,0
2402,120.2265625,50.25920544,-0.01227802,-0.342063264,6.131270903,26.38017001,5.433040281,32.70172786,0
7463,135.140625,44.49960224,-0.180210624,0.034042144,3.381270903,18.68561723,7.354720673,63.11717213,0
796,104.6953125,49.68503274,0.276385759,0.325643415,1.576086957,12.45889818,11.39366554,172.4540497,0
1533,109.6953125,43.31435937,0.159526537,0.474776011,1.858695652,15.28298066,10.63703847,130.1851426,0
12295,131.015625,50.17375814,-0.023811665,-0.109317923,3.030100334,20.79810008,7.792756461,65.61212762,0
11101,138.5703125,50.85052906,-0.404696444,0.152017114,1.545986622,12.89066678,11.60436729,167.686798,0
5425,20.3515625,25.77171107,7.024644815,56.11297239,70.51254181,65.47230523,1.102049947,0.782055998,1
7005,17.8359375,46.1198807,3.848161151,13.96497043,102.8118729,63.96920423,0.41307561,-0.548685368,1
6110,29.3828125,38.10821784,3.81110819,15.34556068,129.8971572,66.80172298,0.270565421,-1.02175703,1
10500,81.71875,52.87528627,1.482040802,1.538288907,170.6563545,80.76560786,-1.002569924,-0.280000774,1
8015,73.984375,36.52053882,1.564606015,5.44133577,22.13545151,55.67129143,2.36442332,4.150410047,1
697,55.4609375,33.90840197,2.590021483,10.46368843,21.26839465,55.18975207,2.694901588,6.32777355,1
10987,70.125,37.18324556,2.219011921,7.845536994,62.51254181,74.01761751,0.96856241,-0.1788026,1
2215,101.3359375,49.19576286,0.588679004,0.572627591,4.85451505,26.99019216,6.453153284,44.42716152,1
11277,100.0078125,49.86928164,0.60639309,0.322745141,25.27591973,64.02260357,2.346076233,3.93522747,1
4410,24.3359375,38.91482633,5.035193948,24.95384217,69.59531773,74.80086235,0.679560035,-0.59486863,1
4255,83.265625,48.38686618,1.544274709,2.849454549,128.0869565,96.73208422,-0.255634311,-1.581232094,1
3242,109.2890625,50.77280158,0.352015361,0.219464333,0.950668896,13.87136585,15.34801701,243.3334623,1
2675,9.3359375,34.08726791,5.666405473,32.74425795,88.47909699,52.04029887,1.041177855,1.138878704,1
1103,56.734375,49.19690736,2.276248056,4.848252368,24.4506689,55.1090443,2.364656521,4.773116366,1
2367,93.4140625,42.76306952,1.223184514,2.269114346,4.013377926,25.74157306,7.120837821,52.56244587,1
8970,49.6484375,35.18002581,2.989773372,12.14572219,6.816053512,31.83774095,5.340635791,29.9632072,1
8498,74.546875,39.23723108,2.382242416,7.96573733,13.0493311,44.73781003,3.707019777,13.32144303,1
11719,95.390625,57.46088811,0.850746019,-0.112877154,11.2951505,44.43700976,4.134948641,16.12329194,1
11142,57.90625,32.20137747,3.250958328,17.30989607,25.54682274,56.80155547,2.413393475,4.922058958,1
11287,40.3046875,33.34421769,4.397312122,22.90804391,43.76839465,65.72739922,1.568893072,1.573680409,1
1848,64.453125,46.45290952,2.723048039,7.110333502,97.77090301,64.29911048,1.093908067,-0.047664164,1
